"","id","target","response","autoscore","trial number","rewardcue","cents","ParticipantID"
"48","5ea0552202b8bd000a2c129a"," HOT COFFEE HURT BOY","the hot coffee burned the boy",75,48,"0",0,"1"
"49","5ea0552202b8bd000a2c129a"," COUPLE WANTED YOUNGEST CHILD","the couple wanted the youngest child",100,49,"0",0,"1"
"50","5ea0552202b8bd000a2c129a"," WOMAN MET RICH ACTOR","the woman met the rich actor",100,50,"0",0,"1"
"51","5ea0552202b8bd000a2c129a"," TINY FLIES BOTHERED GIRL","the tiny flies bothered the girl",100,51,"0",0,"1"
"52","5ea0552202b8bd000a2c129a"," CHEF COOKED DELICIOUS FOOD","the chef cooked the delicious food",100,52,"0",0,"1"
"53","5ea0552202b8bd000a2c129a"," MAN SHARED DIFFICULT STORY","the man shared the funny story",75,53,"0",0,"1"
"54","5ea0552202b8bd000a2c129a"," BOSS TOLD HORRIBLE JOKE","the boss told the woman a joke",75,54,"0",0,"1"
"55","5ea0552202b8bd000a2c129a"," GIRL LOVED SWEET COFFEE","the girl loved the sweet coffee",100,55,"0",0,"1"
"56","5ea0552202b8bd000a2c129a"," STRONG FATHER CARRIED BROTHER","none",0,56,"0",0,"1"
"57","5ea0552202b8bd000a2c129a"," YOUNGEST SISTER WATCHED PARADE","the youngest sister watched the dog",75,57,"$$$",46.875,"1"
"58","5ea0552202b8bd000a2c129a"," PROFESSOR GAVE UNFAIR GRADE","the professor gave the unfair grade",100,58,"$$$",62.5,"1"
"59","5ea0552202b8bd000a2c129a"," FOOTBALL PLAYER WON PRIZE","the football player won the prize",100,59,"$$$",62.5,"1"
"60","5ea0552202b8bd000a2c129a"," MOTHER DRANK ORANGE JUICE","the mother drank the orange juice",100,60,"$$$",62.5,"1"
"61","5ea0552202b8bd000a2c129a"," MAN ATE LARGE MEAL","the man ate the large meal",100,61,"0",0,"1"
"62","5ea0552202b8bd000a2c129a"," FAMILY WATCHED TALENTED PERFORMER","the man watched the talented player",50,62,"0",0,"1"
"63","5ea0552202b8bd000a2c129a"," CAT CHASED GRAY GREY MOUSE","the cat chased the gray mouse",100,63,"0",0,"1"
"64","5ea0552202b8bd000a2c129a"," TROUBLED CHILD NEEDED MOTHER","the troubled child needed the mother",100,64,"0",0,"1"
"65","5ea0552202b8bd000a2c129a"," BUSY DAUGHTER JOINED MUSEUM","the busy daughter enjoyed the museum",75,65,"0",0,"1"
"66","5ea0552202b8bd000a2c129a"," PLAYER HURT LEFT HAND","the player hurt his left hand",100,66,"0",0,"1"
"67","5ea0552202b8bd000a2c129a"," TALENTED DOCTOR SAVED CHILD","the talented doctor saved the child",100,67,"0",0,"1"
"68","5ea0552202b8bd000a2c129a"," THREE SISTERS SHARED CLOTHES","the three sisters shared the clothes",100,68,"0",0,"1"
"69","5ea0552202b8bd000a2c129a"," BROTHER MET TALENTED ARTIST","the brother met the talented artist",100,69,"0",0,"1"
"70","5ea0552202b8bd000a2c129a"," GRANDFATHER MADE WOODEN CHAIR","the grandfather knew the king",25,70,"0",0,"1"
"71","5ea0552202b8bd000a2c129a"," NEIGHBOR LIKED LOUD SONG","the neighbor like the ensemble",25,71,"0",0,"1"
"72","5ea0552202b8bd000a2c129a"," TEACHER WROTE DIFFICULT QUESTION","it is rude to ask a question",25,72,"0",0,"1"
"73","5ea0552202b8bd000a2c129a"," NURSE CLEANED DIRTY CLOTHES","the nurse cleaned the dirty clothes",100,73,"0",0,"1"
"74","5ea0552202b8bd000a2c129a"," FATHER HUGGED SAD DAUGHTER","the father had to solve the puzzle",25,74,"0",0,"1"
"75","5ea0552202b8bd000a2c129a"," PRETTY GIRL WON PRIZE","the pretty girl won the prize",100,75,"0",0,"1"
"76","5ea0552202b8bd000a2c129a"," BOY CARRIED SMALL RABBIT","the boy carried the small dog",75,76,"0",0,"1"
"77","5ea0552202b8bd000a2c129a"," DOCTOR OWNED YELLOW CAR","the doctor owned the yellow car",100,77,"$$$",62.5,"1"
"78","5ea0552202b8bd000a2c129a"," WIND DESTROYED TINY HOUSE","the wind destroyed the townhouse",50,78,"$$$",31.25,"1"
"79","5ea0552202b8bd000a2c129a"," CHEF CHOSE DELICIOUS CHEESE","the chef chose the toughest cheese",75,79,"$$$",46.875,"1"
"80","5ea0552202b8bd000a2c129a"," SMALL FAMILY PLAYED GAME","the small family lifted the gable",50,80,"$$$",31.25,"1"
"81","5c3154c5d347a50001e8fbd5"," GRANDFATHER CHOSE OLD MOVIE","Liam saw that his grandfather joe had a watch",25,1,"0",0,"2"
"82","5c3154c5d347a50001e8fbd5"," BLACK BEAR SCARED VISITORS","Liam saw the black bear scare the house cats",50,2,"0",0,"2"
"83","5c3154c5d347a50001e8fbd5"," GRAY GREY MOUSE ATE CHEESE","Liam saw that the ... cats",0,3,"0",0,"2"
"84","5c3154c5d347a50001e8fbd5"," THIRSTY DOG DRANK WATER","Liam saw the cats and dog drink tap water",50,4,"0",0,"2"
"85","5c3154c5d347a50001e8fbd5"," STORE SOLD DIRTY CLOTHES","Liam saw that the ...",0,5,"0",0,"2"
"86","5c3154c5d347a50001e8fbd5"," MAN ATE FRESH PEPPERS","saw that the man had",25,6,"0",0,"2"
"87","5c3154c5d347a50001e8fbd5"," SMALL BOY CHOSE GAME","Liam saw the small boy chopping wood",50,7,"0",0,"2"
"88","5c3154c5d347a50001e8fbd5"," SMALL RESTAURANT NEEDED MONEY","Liam saw that the small restaraunt had a",25,8,"0",0,"2"
"89","5c3154c5d347a50001e8fbd5"," AUTHOR TOLD INTERESTING STORY","Liam saw fall in hopscotch",0,9,"0",0,"2"
"90","5c3154c5d347a50001e8fbd5"," BOSS MET NEW CUSTOMERS","Liam saw that his boss had the",25,10,"0",0,"2"
"91","5c3154c5d347a50001e8fbd5"," BALL BROKE GLASS WINDOW","Liam saw that the house was white",0,11,"0",0,"2"
"92","5c3154c5d347a50001e8fbd5"," HORSE MADE LOUD NOISE","Liam saw that the",0,12,"0",0,"2"
"93","5c3154c5d347a50001e8fbd5"," MAN ATE LARGE MEAL","Liam saw that he had eaten a large",25,13,"0",0,"2"
"94","5c3154c5d347a50001e8fbd5"," FAMILY WATCHED TALENTED PERFORMER","Liam saw that his family house-watched",50,14,"0",0,"2"
"95","5c3154c5d347a50001e8fbd5"," CAT CHASED GRAY GREY MOUSE","Liam saw the cat chase the three housewives",25,15,"0",0,"2"
"96","5c3154c5d347a50001e8fbd5"," TROUBLED CHILD NEEDED MOTHER","Liam saw that",0,16,"0",0,"2"
"97","5c3154c5d347a50001e8fbd5"," PRETTY WOMAN LIKED COOKIES","Liam saw that his friend had been led",0,17,"$$$",0,"2"
"98","5c3154c5d347a50001e8fbd5"," HOT SUN WARMED TEA","Liam saw",0,18,"$$$",0,"2"
"99","5c3154c5d347a50001e8fbd5"," TEACHER CHOSE DIFFICULT QUESTION","Liam saw that chose watch",25,19,"$$$",15.625,"2"
"100","5c3154c5d347a50001e8fbd5"," SMALL ANIMAL SCARED BABY","Liam saw that his small animals hadn't been watched.",25,20,"$$$",15.625,"2"
"101","5c3154c5d347a50001e8fbd5"," BUSY DAUGHTER JOINED MUSEUM","Liam saw the busy daughter do house chores",50,21,"0",0,"2"
"102","5c3154c5d347a50001e8fbd5"," PLAYER HURT LEFT HAND","Liam saw the rare hedges house",0,22,"0",0,"2"
"103","5c3154c5d347a50001e8fbd5"," TALENTED DOCTOR SAVED CHILD","Liam saw the doctors say",0,23,"0",0,"2"
"104","5c3154c5d347a50001e8fbd5"," THREE SISTERS SHARED CLOTHES","Ian saw that his sisters house watch",25,24,"0",0,"2"
"105","5c3154c5d347a50001e8fbd5"," HUNGRY RABBIT ATE CARROTS","rabbit house watch",25,25,"0",0,"2"
"106","5c3154c5d347a50001e8fbd5"," TEAM PLAYED DIFFICULT GAME","saw that houses watched",0,26,"0",0,"2"
"107","5c3154c5d347a50001e8fbd5"," CUSTOMERS HATED BLACK TEA","Liam saw that the customers needed",25,27,"0",0,"2"
"108","5c3154c5d347a50001e8fbd5"," DARK HOUSE SCARED BABY","Liam saw that the",0,28,"0",0,"2"
"109","5c3154c5d347a50001e8fbd5"," BOSS BOUGHT NEW CAR","saw that his",0,29,"0",0,"2"
"110","5c3154c5d347a50001e8fbd5"," MOTHER BAKED DELICIOUS COOKIES","saw that his brother paid",0,30,"0",0,"2"
"111","5c3154c5d347a50001e8fbd5"," DOCTOR HELPED SICK PATIENT","saw the doctors",0,31,"0",0,"2"
"112","5c3154c5d347a50001e8fbd5"," COUPLE EXPECTED NEW BABY","Liam saw a couple of specks of",25,32,"0",0,"2"
"113","5c3154c5d347a50001e8fbd5"," BROTHER MET TALENTED ARTIST","Liam saw that his brother met with the",50,33,"0",0,"2"
"114","5c3154c5d347a50001e8fbd5"," GRANDFATHER MADE WOODEN CHAIR","Liam saw that his grandfather had new",25,34,"0",0,"2"
"115","5c3154c5d347a50001e8fbd5"," NEIGHBOR LIKED LOUD SONG","Liam saw that his new",0,35,"0",0,"2"
"116","5c3154c5d347a50001e8fbd5"," TEACHER WROTE DIFFICULT QUESTION","Liam saw the kitchen through the house",0,36,"0",0,"2"
"117","5c3154c5d347a50001e8fbd5"," PRESIDENT GAVE INTERESTING SPEECH","Liam saw the president after the house was watched",25,37,"$$$",15.625,"2"
"118","5c3154c5d347a50001e8fbd5"," MAN HEARD BEAUTIFUL MUSIC","He saw that the watch",0,38,"$$$",0,"2"
"119","5c3154c5d347a50001e8fbd5"," LARGE MONKEY CHASED CHILD","Liam saw that large monkey house",50,39,"$$$",31.25,"2"
"120","5c3154c5d347a50001e8fbd5"," FAMILY CLEANED DIRTY HOUSE","Liam saw that his family lived under",25,40,"$$$",15.625,"2"
"121","5c3154c5d347a50001e8fbd5"," MONKEY WANTED YELLOW BANANA","Liam saw that he lived under",0,41,"0",0,"2"
"122","5c3154c5d347a50001e8fbd5"," SCHOOL NEEDED NEW TEACHER","Liam saw that",0,42,"0",0,"2"
"123","5c3154c5d347a50001e8fbd5"," BOY CARRIED HEAVY CHAIR","Liam saw that had a housewife",0,43,"0",0,"2"
"124","5c3154c5d347a50001e8fbd5"," ENGLISH STUDENT READ BOOK","Liam saw the englishman at the house",0,44,"0",0,"2"
"125","5c3154c5d347a50001e8fbd5"," MAN SHARED DIFFICULT STORY","Liam saw that he hadn't shared the",25,45,"0",0,"2"
"126","5c3154c5d347a50001e8fbd5"," BOSS TOLD HORRIBLE JOKE","Liam saw that the boss sold the",25,46,"0",0,"2"
"127","5c3154c5d347a50001e8fbd5"," GIRL LOVED SWEET COFFEE","Liam saw that the girl loved his pocketwatch",50,47,"0",0,"2"
"128","5c3154c5d347a50001e8fbd5"," STRONG FATHER CARRIED BROTHER","Liam saw his strong father do the",50,48,"0",0,"2"
"129","5c3154c5d347a50001e8fbd5"," WOMAN HEARD BEAUTIFUL SONG","Liam saw that",0,49,"0",0,"2"
"130","5c3154c5d347a50001e8fbd5"," TRAVELERS VISITED NEW MUSEUM","Liam saw that visit the",0,50,"0",0,"2"
"131","5c3154c5d347a50001e8fbd5"," MEAN BEAR ATE FRUIT","Liam saw that the power of",0,51,"0",0,"2"
"132","5c3154c5d347a50001e8fbd5"," TALENTED AUTHOR RECEIVED PRIZE","none",0,52,"0",0,"2"
"133","5c3154c5d347a50001e8fbd5"," NURSE CLEANED DIRTY CLOTHES","Liam saw that the nurse had a pocketwatch",25,53,"0",0,"2"
"134","5c3154c5d347a50001e8fbd5"," FATHER HUGGED SAD DAUGHTER","Liam saw that his father sent a",25,54,"0",0,"2"
"135","5c3154c5d347a50001e8fbd5"," PRETTY GIRL WON PRIZE","Liam saw the pretty girl with the",50,55,"0",0,"2"
"136","5c3154c5d347a50001e8fbd5"," BOY CARRIED SMALL RABBIT","Liam saw that his wanted",0,56,"0",0,"2"
"137","5c3154c5d347a50001e8fbd5"," DOCTOR OWNED YELLOW CAR","Liam saw that the doctor only yelled",25,57,"$$$",15.625,"2"
"138","5c3154c5d347a50001e8fbd5"," WIND DESTROYED TINY HOUSE","Liam saw the wind destroy the house blinds",50,58,"$$$",31.25,"2"
"139","5c3154c5d347a50001e8fbd5"," CHEF CHOSE DELICIOUS CHEESE","Liam saw that the chef chose the talcum wipes",50,59,"$$$",31.25,"2"
"140","5c3154c5d347a50001e8fbd5"," SMALL FAMILY PLAYED GAME","Liam saw that his small family lived in a",50,60,"$$$",31.25,"2"
"141","5c3154c5d347a50001e8fbd5"," COUPLE WANTED YOUNGEST CHILD","Liam saw that the couple went through the",25,61,"0",0,"2"
"142","5c3154c5d347a50001e8fbd5"," WOMAN MET RICH ACTOR","Liam saw that the window",0,62,"0",0,"2"
"143","5c3154c5d347a50001e8fbd5"," TINY FLIES BOTHERED GIRL","Liam saw that the time flies",25,63,"0",0,"2"
"144","5c3154c5d347a50001e8fbd5"," CHEF COOKED DELICIOUS FOOD","Liam saw the chef put the",25,64,"0",0,"2"
"145","5c3154c5d347a50001e8fbd5"," RICH BOYFRIEND OWNED HOUSES","Liam saw that the rich friend did",25,65,"0",0,"2"
"146","5c3154c5d347a50001e8fbd5"," HARDWORKING FARMER GREW CORN","Liam saw that he was working for a house's wife",0,66,"0",0,"2"
"147","5c3154c5d347a50001e8fbd5"," MONKEY MADE HORRIBLE NOISE","Liam saw that he was working for the housewife",0,67,"0",0,"2"
"148","5c3154c5d347a50001e8fbd5"," HOT COFFEE HURT BOY","Liam saw that her house was white",0,68,"0",0,"2"
"149","5c3154c5d347a50001e8fbd5"," YOUNGEST SISTER WATCHED PARADE","Liam saw the endless sister that was",25,69,"0",0,"2"
"150","5c3154c5d347a50001e8fbd5"," PROFESSOR GAVE UNFAIR GRADE","Liam saw that his professor gave",50,70,"0",0,"2"
"151","5c3154c5d347a50001e8fbd5"," FOOTBALL PLAYER WON PRIZE","Liam saw the football player won the",75,71,"0",0,"2"
"152","5c3154c5d347a50001e8fbd5"," MOTHER DRANK ORANGE JUICE","Liam saw that the",0,72,"0",0,"2"
"153","5c3154c5d347a50001e8fbd5"," HORRIBLE STORY UPSET GRANDMOTHER","Liam saw that the horrible story was",50,73,"0",0,"2"
"154","5c3154c5d347a50001e8fbd5"," LOUD NOISE UPSET BABY","Liam saw that the glad",0,74,"0",0,"2"
"155","5c3154c5d347a50001e8fbd5"," GRAY GREY RABBIT LOVED CARROTS","Liam saw that he reread the",0,75,"0",0,"2"
"156","5c3154c5d347a50001e8fbd5"," SON LOVED TOY CAR","Liam saw that his son wanted to",25,76,"0",0,"2"
"157","5c3154c5d347a50001e8fbd5"," TALENTED MUSICIAN KNEW SONGS","Liam saw that the musician had the",25,77,"$$$",15.625,"2"
"158","5c3154c5d347a50001e8fbd5"," CHILDREN LIKED FRESH VEGETABLES","Liam saw the children with the",25,78,"$$$",15.625,"2"
"159","5c3154c5d347a50001e8fbd5"," SOFT MUSIC PLEASED BOSS","Liam saw that the",0,79,"$$$",0,"2"
"160","5c3154c5d347a50001e8fbd5"," MEAN CHILDREN BROKE RULES","Liam saw that the moon had shone",0,80,"$$$",0,"2"
"161","5a8d4e3e5292b800012344b0"," GRANDFATHER CHOSE OLD MOVIE","Grandfather chose to",50,1,"0",0,"3"
"162","5a8d4e3e5292b800012344b0"," BLACK BEAR SCARED VISITORS","Black bear scares",50,2,"0",0,"3"
"163","5a8d4e3e5292b800012344b0"," GRAY GREY MOUSE ATE CHEESE","The gray mouse ate cheese",100,3,"0",0,"3"
"164","5a8d4e3e5292b800012344b0"," THIRSTY DOG DRANK WATER","The thirsty dog drank water.",100,4,"0",0,"3"
"165","5a8d4e3e5292b800012344b0"," MAN ATE LARGE MEAL","none",0,5,"0",0,"3"
"166","5a8d4e3e5292b800012344b0"," FAMILY WATCHED TALENTED PERFORMER","The family watches",25,6,"0",0,"3"
"167","5a8d4e3e5292b800012344b0"," CAT CHASED GRAY GREY MOUSE","The cat chased the gray mouse.",100,7,"0",0,"3"
"168","5a8d4e3e5292b800012344b0"," TROUBLED CHILD NEEDED MOTHER","The troubled child needs attention.",50,8,"0",0,"3"
"169","5a8d4e3e5292b800012344b0"," WOMAN HEARD BEAUTIFUL SONG","none",0,9,"0",0,"3"
"170","5a8d4e3e5292b800012344b0"," TRAVELERS VISITED NEW MUSEUM","none",0,10,"0",0,"3"
"171","5a8d4e3e5292b800012344b0"," MEAN BEAR ATE FRUIT","The gray bear",25,11,"0",0,"3"
"172","5a8d4e3e5292b800012344b0"," TALENTED AUTHOR RECEIVED PRIZE","The talented author received a prize.",100,12,"0",0,"3"
"173","5a8d4e3e5292b800012344b0"," YOUNGEST SISTER WATCHED PARADE","The youngest sister watched the",75,13,"0",0,"3"
"174","5a8d4e3e5292b800012344b0"," PROFESSOR GAVE UNFAIR GRADE","The professor gave the",50,14,"0",0,"3"
"175","5a8d4e3e5292b800012344b0"," FOOTBALL PLAYER WON PRIZE","The football player won the prize.",100,15,"0",0,"3"
"176","5a8d4e3e5292b800012344b0"," MOTHER DRANK ORANGE JUICE","none",0,16,"0",0,"3"
"177","5a8d4e3e5292b800012344b0"," HUNGRY RABBIT ATE CARROTS","The rabbit ate the carrots.",75,17,"$$$",46.875,"3"
"178","5a8d4e3e5292b800012344b0"," TEAM PLAYED DIFFICULT GAME","none",0,18,"$$$",0,"3"
"179","5a8d4e3e5292b800012344b0"," CUSTOMERS HATED BLACK TEA","The customers hated the",50,19,"$$$",31.25,"3"
"180","5a8d4e3e5292b800012344b0"," DARK HOUSE SCARED BABY","The dark past scared people.",50,20,"$$$",31.25,"3"
"181","5a8d4e3e5292b800012344b0"," COUPLE WANTED YOUNGEST CHILD","The couple wanted the youngest child.",100,21,"0",0,"3"
"182","5a8d4e3e5292b800012344b0"," WOMAN MET RICH ACTOR","none",0,22,"0",0,"3"
"183","5a8d4e3e5292b800012344b0"," TINY FLIES BOTHERED GIRL","Time flies when",25,23,"0",0,"3"
"184","5a8d4e3e5292b800012344b0"," CHEF COOKED DELICIOUS FOOD","The chef cooked delicious food.",100,24,"0",0,"3"
"185","5a8d4e3e5292b800012344b0"," BUSY DAUGHTER JOINED MUSEUM","The busy daughter joined the",75,25,"0",0,"3"
"186","5a8d4e3e5292b800012344b0"," PLAYER HURT LEFT HAND","The player hurt his left hand.",100,26,"0",0,"3"
"187","5a8d4e3e5292b800012344b0"," TALENTED DOCTOR SAVED CHILD","The talented doctor saved the child.",100,27,"0",0,"3"
"188","5a8d4e3e5292b800012344b0"," THREE SISTERS SHARED CLOTHES","The three sisters shared the clothes.",100,28,"0",0,"3"
"189","5a8d4e3e5292b800012344b0"," HORRIBLE STORY UPSET GRANDMOTHER","The horrible story",50,29,"0",0,"3"
"190","5a8d4e3e5292b800012344b0"," LOUD NOISE UPSET BABY","The loud noise upset me.",75,30,"0",0,"3"
"191","5a8d4e3e5292b800012344b0"," GRAY GREY RABBIT LOVED CARROTS","The gray rabbit loved carrots.",100,31,"0",0,"3"
"192","5a8d4e3e5292b800012344b0"," SON LOVED TOY CAR","The son loved",50,32,"0",0,"3"
"193","5a8d4e3e5292b800012344b0"," STORE SOLD DIRTY CLOTHES","none",0,33,"0",0,"3"
"194","5a8d4e3e5292b800012344b0"," MAN ATE FRESH PEPPERS","The man ate the fresh peaches.",75,34,"0",0,"3"
"195","5a8d4e3e5292b800012344b0"," SMALL BOY CHOSE GAME","The small boy chased the",50,35,"0",0,"3"
"196","5a8d4e3e5292b800012344b0"," SMALL RESTAURANT NEEDED MONEY","The small restaurant",50,36,"0",0,"3"
"197","5a8d4e3e5292b800012344b0"," DOCTOR OWNED YELLOW CAR","The doctor owned the yellow car.",100,37,"$$$",62.5,"3"
"198","5a8d4e3e5292b800012344b0"," WIND DESTROYED TINY HOUSE","The wind destroyed the townhouse.",50,38,"$$$",31.25,"3"
"199","5a8d4e3e5292b800012344b0"," CHEF CHOSE DELICIOUS CHEESE","The chef chose delicious cheese.",100,39,"$$$",62.5,"3"
"200","5a8d4e3e5292b800012344b0"," SMALL FAMILY PLAYED GAME","The small family lived in",50,40,"$$$",31.25,"3"
"201","5a8d4e3e5292b800012344b0"," AUTHOR TOLD INTERESTING STORY","The author told an interesting story.",100,41,"0",0,"3"
"202","5a8d4e3e5292b800012344b0"," BOSS MET NEW CUSTOMERS","The boss met the new customers.",100,42,"0",0,"3"
"203","5a8d4e3e5292b800012344b0"," BALL BROKE GLASS WINDOW","The ball broke the glass window.",100,43,"0",0,"3"
"204","5a8d4e3e5292b800012344b0"," HORSE MADE LOUD NOISE","none",0,44,"0",0,"3"
"205","5a8d4e3e5292b800012344b0"," NURSE CLEANED DIRTY CLOTHES","The nurse",25,45,"0",0,"3"
"206","5a8d4e3e5292b800012344b0"," FATHER HUGGED SAD DAUGHTER","The father helped his sad daughter.",75,46,"0",0,"3"
"207","5a8d4e3e5292b800012344b0"," PRETTY GIRL WON PRIZE","The pretty girl won the prize.",100,47,"0",0,"3"
"208","5a8d4e3e5292b800012344b0"," BOY CARRIED SMALL RABBIT","The boy carried the small box.",75,48,"0",0,"3"
"209","5a8d4e3e5292b800012344b0"," TALENTED MUSICIAN KNEW SONGS","The talented musician played his songs.",75,49,"0",0,"3"
"210","5a8d4e3e5292b800012344b0"," CHILDREN LIKED FRESH VEGETABLES","The children liked the fresh peaches.",75,50,"0",0,"3"
"211","5a8d4e3e5292b800012344b0"," SOFT MUSIC PLEASED BOSS","none",0,51,"0",0,"3"
"212","5a8d4e3e5292b800012344b0"," MEAN CHILDREN BROKE RULES","The mean children",50,52,"0",0,"3"
"213","5a8d4e3e5292b800012344b0"," PRETTY WOMAN LIKED COOKIES","The pretty woman led the",50,53,"0",0,"3"
"214","5a8d4e3e5292b800012344b0"," HOT SUN WARMED TEA","The hot sun",50,54,"0",0,"3"
